time_min,time_generations,TetR_mRNA,TetR_total,CI_mRNA,CI,LacI_mRNA,LacI,C31_mRNA,C31_protein,TetR_free,PLtetO1_activity,resource_availability,unthrottled_C31_demand_molecules_min,actual_C31_translation_flux_uM_h
1128.0,22.56,0.1021204771315099,472.43181356702087,0.0012020862291628309,16.057405091607162,8.890943049523795,94.44621940101709,0.7275712081067921,109.15278618117206,352.4378355834636,0.005049932552389325,1.0,0.36378560405339605,0.036244812456366036
1129.0,22.58,0.0922618270661653,465.9759159211243,0.0012697009913011027,15.836951604526293,9.142657178325983,97.62324044890195,0.7279212771373665,108.0114094083523,345.9822813355747,0.0050527798954809865,1.0,0.36396063856868327,0.03626225155541034
1130.0,22.6,0.08340721242806766,459.6042576696794,0.0013415154756943996,15.619567773625352,9.397886361684032,100.8823919948731,0.7282930898323718,106.88592548585979,339.6109880830807,0.005055806344886179,1.0,0.3641465449161859,0.03628077384058216
1131.0,22.62,0.07545134121249263,453.3161509282049,0.0014178140723045587,15.405213493327507,9.656479028742611,104.22425142735453,0.7286881185939149,105.77612677092155,333.3232694306638,0.0050590242497078625,1.0,0.36434405929695746,0.03630045266131814
1132.0,22.64,0.06830008931364769,447.11086782993175,0.0014989027205316121,15.193849356706146,9.918273562953543,107.64931041363089,0.7291079473942795,104.68180923795924,327.11839911573736,0.005062446911471724,1.0,0.36455397369713977,0.036321366925054055
1133.0,22.66,0.061869325112564655,440.987646324268,0.0015851107179494577,14.985436657010162,10.183098562974028,111.1579711544167,0.7295542811404829,103.60277248648609,320.99561681661874,0.005066088665741475,1.0,0.36477714057024146,0.036343601563731114
1134.0,22.68,0.05608385351518809,434.94569534167294,0.001676792698614107,14.779937390107866,10.450773159796467,114.75054283353815,0.730028955916781,102.53881975376024,314.95413332819066,0.005069964971542845,1.0,0.3650144779583905,0.03636724804403846
1135.0,22.7,0.05087646830734617,428.9841993903946,0.0017743307983833132,14.57731425792552,10.721107389609882,118.4272382878644,0.7305339501954041,101.48975793258722,308.9931351704257,0.005074092509424007,1.0,0.36526697509770206,0.03639240492588905
1136.0,22.72,0.04618710235906209,423.1023226444736,0.0018781370269553052,14.37753067296394,10.993902621399107,122.18817092185623,0.7310713971175641,100.45539759470445,303.11178868938737,0.005078489289076671,1.0,0.36553569855878204,0.03641917847421242
1137.0,22.74,0.041962066513751,417.2992125755653,0.001988655868581587,14.180550763986993,11.268952037760327,126.03335189027224,0.7316435979583984,99.43555302023267,297.3092437033103,0.005083174767552119,1.0,0.3658217989791992,0.03644768332972667
